seed,N,n_tests,n_eff,mean_red,cimd_alpha_mean,cimd_alpha_std,cimd_alpha_cv,ratio_min,ratio_max,ratio_mean,shd_van,prec_van,rec_van,f1_van,shd_bonf,prec_bonf,rec_bonf,f1_bonf,shd_cimd,prec_cimd,rec_cimd,f1_cimd,cimd_time
9,1000,106641,32646.624028772512,0.693864235812,6.378135064339241e-06,2.658595993351238e-05,4.1682967929225905,1.0,513.5331435419578,13.603414027924016,3,0.8888888888888888,0.9411764705882353,0.9142857142857143,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,3.323141098022461
9,2000,106641,37352.020296076196,0.6497405285389654,6.1020416905425225e-06,2.91817143849008e-05,4.78228695653279,1.0,697.0,13.014556558422901,2,0.9411764705882353,0.9411764705882353,0.9411764705882353,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,3.2084810733795166
9,3500,106641,40069.59953441839,0.6242570912274041,7.673347005453762e-06,3.8052770175819185e-05,4.9590837151993155,1.0,697.0,16.365867960171894,4,0.8421052631578947,0.9411764705882353,0.8888888888888888,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,2.689785957336426
9,5000,106641,40302.64206221154,0.6220717916916426,7.145388686127865e-06,3.716346613593574e-05,5.201041926254523,1.0,697.0,15.239827897547235,5,0.8,0.9411764705882353,0.8648648648648648,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,2.618014097213745
10,500,106641,29555.872902359333,0.7228470016001413,1.293268268551693e-05,3.4741393190883333e-05,2.686325338345274,1.0,495.5854571452179,27.58308428532422,1,1.0,0.9285714285714286,0.962962962962963,4,1.0,0.7142857142857143,0.8333333333333333,3,1.0,0.7857142857142857,0.88,3.061976194381714
10,1000,106641,33416.66781457026,0.68664333779156,1.6172386763280636e-05,5.5279665509394484e-05,3.418151341452384,1.0,697.0,34.492789936460206,5,0.7647058823529411,0.9285714285714286,0.8387096774193549,2,1.0,0.8571428571428571,0.923076923076923,2,1.0,0.8571428571428571,0.923076923076923,2.554198980331421
10,2000,106641,35738.1159297641,0.6648745235907005,1.991852603626142e-05,6.413309341479192e-05,3.2197710462128803,1.0,697.0,42.48263070065907,2,0.9285714285714286,0.9285714285714286,0.9285714285714286,1,1.0,0.9285714285714286,0.962962962962963,1,1.0,0.9285714285714286,0.962962962962963,2.6230671405792236
10,3500,106641,41097.70107149119,0.6146163195066514,2.5060110561083886e-05,7.641460684674843e-05,3.0492525825250545,1.0,697.0,53.448705006890926,2,0.9285714285714286,0.9285714285714286,0.9285714285714286,1,1.0,0.9285714285714286,0.962962962962963,1,1.0,0.9285714285714286,0.962962962962963,2.637086868286133
10,5000,106641,39230.34694943282,0.6321269779031253,2.5979574176271243e-05,7.854024361007676e-05,3.0231536158822974,1.0,697.0,55.40975539463484,3,0.8666666666666667,0.9285714285714286,0.896551724137931,1,1.0,0.9285714285714286,0.962962962962963,1,1.0,0.9285714285714286,0.962962962962963,2.7160420417785645
11,500,106641,32351.250950379734,0.6966340249024321,3.452677087765955e-06,8.964425993972898e-06,2.596369647696566,1.0,179.19953811294735,7.363938746328984,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,5,1.0,0.7619047619047619,0.8648648648648648,5,1.0,0.7619047619047619,0.8648648648648648,2.666440963745117
11,1000,106641,34869.87691487321,0.6730162234518318,2.854536026320082e-06,4.926634641657124e-06,1.7258968169367557,1.0,95.79571955899934,6.0882115276559965,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,2.957077980041504
11,2000,106641,41477.56410037937,0.6110542464870043,4.335424988134504e-06,2.6287444328349505e-05,6.063406563438378,1.0,697.0,9.246681123193033,2,1.0,0.9047619047619048,0.9500000000000001,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,3.184912919998169
11,3500,106641,41387.76800487493,0.6118962874984768,1.9975031824441373e-06,1.8557340347736668e-06,0.9290268226271348,1.0,25.497057408958764,4.260314737580504,2,0.9523809523809523,0.9523809523809523,0.9523809523809523,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,5,0.9444444444444444,0.8095238095238095,0.8717948717948718,3.2485008239746094
11,5000,106641,43197.84675202402,0.5949227149780664,1.9143367013956606e-06,1.9879704080665e-06,1.0384643446563795,1.0,38.423087014236984,4.082935603470692,2,0.9523809523809523,0.9523809523809523,0.9523809523809523,3,1.0,0.8571428571428571,0.923076923076923,3,1.0,0.8571428571428571,0.923076923076923,2.7047760486602783
12,500,106641,34023.18397865829,0.6809558802087537,3.264737706730399e-06,7.0282039481762974e-06,2.152762206191128,1.0,128.37649757311715,6.96309787566873,2,1.0,0.9047619047619048,0.9500000000000001,6,1.0,0.7142857142857143,0.8333333333333333,5,1.0,0.7619047619047619,0.8648648648648648,2.6222169399261475
12,1000,106641,35057.87558113397,0.6712533117550101,4.955060436159943e-06,2.6480204762059776e-05,5.344073014492094,1.0,697.0,10.568251999450647,4,0.8695652173913043,0.9523809523809523,0.909090909090909,4,1.0,0.8095238095238095,0.8947368421052632,3,1.0,0.8571428571428571,0.923076923076923,2.9543519020080566
12,2000,106641,36860.058486041184,0.654353780571814,4.336313315665607e-06,2.627393083218788e-05,6.0590480713811,1.0,697.0,9.248575765917922,3,0.95,0.9047619047619048,0.9268292682926829,2,1.0,0.9047619047619048,0.9500000000000001,2,1.0,0.9047619047619048,0.9500000000000001,2.713893175125122
12,3500,106641,38263.08284014321,0.6411972614646974,5.464117309012746e-06,3.077793196463084e-05,5.632736309278064,1.0,697.0,11.653978679008565,2,0.9523809523809523,0.9523809523809523,0.9523809523809523,2,1.0,0.9047619047619048,0.9500000000000001,2,1.0,0.9047619047619048,0.9500000000000001,2.6297740936279297
12,5000,106641,43417.02317777957,0.5928674414364121,5.9607965260740816e-06,3.131557822777311e-05,5.253589531330349,1.0,697.0,12.713306046741323,4,0.9047619047619048,0.9047619047619048,0.9047619047619048,2,1.0,0.9047619047619048,0.9500000000000001,2,1.0,0.9047619047619048,0.9500000000000001,2.6273908615112305
13,500,106641,26205.712018540504,0.7542623191967395,9.3831638004159e-06,3.250678454731435e-05,3.4643735565901044,1.0,697.0,20.012599416803045,2,0.8888888888888888,1.0,0.9411764705882353,4,1.0,0.75,0.8571428571428571,4,1.0,0.75,0.8571428571428571,2.693898916244507
13,1000,106641,28880.901000270922,0.7291763861903872,1.4621935002023044e-05,4.7738422752586494e-05,3.264849881084929,1.0,697.0,31.185955411014785,1,0.9411764705882353,1.0,0.9696969696969697,2,1.0,0.875,0.9333333333333333,1,1.0,0.9375,0.967741935483871,2.726112127304077
13,2000,106641,31127.542648401268,0.7081090514117341,1.517357258414627e-05,5.1889239041060266e-05,3.4197113931675815,1.0,697.0,32.36249907891884,2,0.8888888888888888,1.0,0.9411764705882353,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.8181700706481934
13,3500,106641,34704.81244900496,0.6745640752711906,1.997447069596557e-05,6.652179344025399e-05,3.3303407360721713,1.0,697.0,42.601950589769295,3,0.8421052631578947,1.0,0.9142857142857143,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.2272121906280518
13,5000,106641,36829.22989763317,0.6546428681498375,1.588973068218431e-05,5.668864335353673e-05,3.567627701651135,1.0,697.0,33.88993539357634,2,0.8888888888888888,1.0,0.9411764705882353,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.184968948364258
14,500,106641,34197.77587475812,0.6793186872332582,2.360411553210796e-06,1.8077261023267693e-06,0.7658520819675596,1.0,24.172457294501733,5.03433296891905,3,0.9047619047619048,0.95,0.9268292682926829,3,1.0,0.85,0.9189189189189189,3,1.0,0.85,0.9189189189189189,2.730541944503784
14,1000,106641,36044.10925660501,0.662005145707514,2.488781238013211e-06,2.616559206736453e-06,1.0513415830895796,1.0,46.21351199150285,5.308122400059335,2,0.9090909090909091,1.0,0.9523809523809523,2,1.0,0.9,0.9473684210526316,2,1.0,0.9,0.9473684210526316,2.7193870544433594
14,2000,106641,41587.6297199471,0.6100221329512373,2.743103837518108e-06,4.391674153585869e-06,1.600987207819062,1.0,67.71564275981925,5.850546726735371,1,0.9523809523809523,1.0,0.975609756097561,2,1.0,0.9,0.9473684210526316,2,1.0,0.9,0.9473684210526316,3.0130720138549805
14,3500,106641,42530.30766505478,0.6011824001551488,3.1871679375333324e-06,6.8694118537319825e-06,2.155334136251532,1.0,104.59309442698509,6.79765552052984,3,0.8695652173913043,1.0,0.9302325581395349,1,1.0,0.95,0.9743589743589743,1,1.0,0.95,0.9743589743589743,2.5861260890960693
14,5000,106641,45939.77005026718,0.5692109971749404,2.1244380275020715e-06,2.662224481932637e-06,1.2531429241374004,1.0,49.23132842895103,4.531043913816968,2,0.9090909090909091,1.0,0.9523809523809523,1,1.0,0.95,0.9743589743589743,0,1.0,1.0,1.0,2.6357529163360596
15,500,106641,23712.264959531338,0.7776440115946837,2.3196027824092784e-05,5.4524979653924214e-05,2.3506170999368825,1.0,672.8405907116871,49.47295206378158,3,0.7857142857142857,1.0,0.88,2,1.0,0.8181818181818182,0.9,2,1.0,0.8181818181818182,0.9,2.6964991092681885
15,1000,106641,28261.172041443904,0.734987743537252,2.908168915574597e-05,7.366439968205242e-05,2.533016541355122,1.0,697.0,62.02600826515812,2,0.8461538461538461,1.0,0.9166666666666666,2,1.0,0.8181818181818182,0.9,2,1.0,0.8181818181818182,0.9,2.7667930126190186
15,2000,106641,34799.15605084307,0.6736793911268362,4.046825982718207e-05,8.847698624808584e-05,2.1863303889498322,1.0,697.0,86.31151392461045,1,0.9166666666666666,1.0,0.9565217391304348,1,1.0,0.9090909090909091,0.9523809523809523,1,1.0,0.9090909090909091,0.9523809523809523,2.5774850845336914
15,3500,106641,38217.10780163188,0.6416283811889247,3.694729037173299e-05,9.161688244371567e-05,2.4796644495967795,1.0,697.0,78.80191985063955,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.584747076034546
15,5000,106641,35748.56515346611,0.6647765385408416,4.7493821808851656e-05,0.00010101742363831604,2.126959250508009,1.0,697.0,101.29577303035497,1,0.9166666666666666,1.0,0.9565217391304348,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.1455700397491455
16,500,106641,31491.43545633403,0.7046967352487876,4.151644816143594e-06,1.0063798192186402e-05,2.42405086125227,1.0,229.44803344507793,8.85471109676738,2,0.9545454545454546,0.9545454545454546,0.9545454545454546,3,1.0,0.8636363636363636,0.9268292682926829,2,1.0,0.9090909090909091,0.9523809523809523,3.453886032104492
16,1000,106641,32376.879477686613,0.6963936996306617,3.848901818285108e-06,9.119143300527989e-06,2.3692844689374426,1.0,208.0172741902138,8.209014776074845,2,0.9545454545454546,0.9545454545454546,0.9545454545454546,2,1.0,0.9090909090909091,0.9523809523809523,2,1.0,0.9090909090909091,0.9523809523809523,2.724020004272461
16,2000,106641,34319.565430217226,0.6781766353445933,3.3093376124354307e-06,9.247766901081418e-06,2.794446497791967,1.0,240.23137193349916,7.058221446554537,2,0.9545454545454546,0.9545454545454546,0.9545454545454546,1,1.0,0.9545454545454546,0.9767441860465117,1,1.0,0.9545454545454546,0.9767441860465117,2.6689000129699707
16,3500,106641,39143.5302471778,0.6329410803801746,6.0956555349000985e-06,2.474409299732349e-05,4.059299751380886,1.0,546.0272931341311,13.000936037945625,1,1.0,0.9545454545454546,0.9767441860465117,1,1.0,0.9545454545454546,0.9767441860465117,1,1.0,0.9545454545454546,0.9767441860465117,2.9611217975616455
16,5000,106641,42200.03137738543,0.6042794855882313,6.104549697530518e-06,2.9159939674642168e-05,4.776755226751333,1.0,697.0,13.019905685887037,0,1.0,1.0,1.0,1,1.0,0.9545454545454546,0.9767441860465117,1,1.0,0.9545454545454546,0.9767441860465117,2.609139919281006
17,500,106641,30524.193012039843,0.7137668156521428,3.4090687577769403e-06,7.271277939498373e-06,2.132922054713847,1.0,179.90664797566876,7.270930027961812,0,1.0,1.0,1.0,1,1.0,0.9375,0.967741935483871,1,1.0,0.9375,0.967741935483871,2.685678005218506
17,1000,106641,33052.88208505876,0.6900546498526949,3.851339761325258e-06,9.529625046442093e-06,2.474366230198013,1.0,225.4285747577001,8.214214469749736,0,1.0,1.0,1.0,1,1.0,0.9375,0.967741935483871,0,1.0,1.0,1.0,2.701563835144043
17,2000,106641,35197.05195661107,0.6699482191970155,4.262323939256991e-06,1.2404589001515223e-05,2.9102877158786744,1.0,289.04591501829816,9.090769744126096,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.687221050262451
17,3500,106641,39830.35502005341,0.6265005483814536,2.965204445125125e-06,4.680690671792735e-06,1.5785389366618263,1.0,79.68276644023955,6.324247344651768,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.676129102706909
17,5000,106641,41043.19363108923,0.6151274497511349,4.411734411202233e-06,2.1033507835047123e-05,4.767627847596411,1.0,549.7112676463606,9.409435386900345,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.9166970252990723
18,500,106641,32483.087227794167,0.6953977623259894,3.869950984415533e-06,6.9890896242354415e-06,1.8059891849743888,1.0,113.42905453241433,8.253908858581136,3,0.9090909090909091,0.9523809523809523,0.9302325581395349,7,1.0,0.6666666666666666,0.8,6,1.0,0.7142857142857143,0.8333333333333333,3.311305284500122
